# zooid     P          Nclass  image
ASW0004evl  0.9766026  7       http://spacewarps.org/subjects/standard/5183f151e4bb210219032451.png
ASW0008p8e  0.9679792  4       http://spacewarps.org/subjects/standard/5183f151e4bb2102190631be.png
ASW0000j21  0.9645567  153       http://spacewarps.org/subjects/standard/5183f151e4bb210219006079.png
ASW0006ieh  0.9790560  4       http://spacewarps.org/subjects/standard/5183f151e4bb21021904a2a9.png
ASW0008snm  0.9917100  3       http://spacewarps.org/subjects/standard/5183f151e4bb210219064312.png
ASW0006jdq  0.9517999  3       http://spacewarps.org/subjects/standard/5183f151e4bb21021904a79e.png
ASW0007k6f  0.9917691  3       http://spacewarps.org/subjects/standard/5183f151e4bb2102190561e7.png
ASW00053oq  0.9804836  6       http://spacewarps.org/subjects/standard/5183f151e4bb21021903a1ea.png
ASW0007tty  0.9993994  4       http://spacewarps.org/subjects/standard/5183f151e4bb2102190592c6.png
ASW0008hu6  0.9971079  5       http://spacewarps.org/subjects/standard/5183f151e4bb210219060c4e.png
ASW0000yug  0.9817818  10       http://spacewarps.org/subjects/standard/5183f151e4bb21021900b068.png
ASW000170s  0.9987183  10       http://spacewarps.org/subjects/standard/5183f151e4bb21021900d9cc.png
ASW0003wjf  0.9879742  6       http://spacewarps.org/subjects/standard/5183f151e4bb21021902c77b.png
ASW0000r9a  0.9588749  123       http://spacewarps.org/subjects/standard/5183f151e4bb2102190089fe.png
ASW0008ei1  0.9714579  3       http://spacewarps.org/subjects/standard/5183f151e4bb21021905fb69.png
ASW0004u53  0.9983397  46       http://spacewarps.org/subjects/standard/5183f151e4bb210219037197.png
ASW00052bq  0.9637521  3       http://spacewarps.org/subjects/standard/5183f151e4bb210219039b06.png
ASW0004u57  0.9992012  4       http://spacewarps.org/subjects/standard/5183f151e4bb21021903719b.png
ASW0002d5v  0.9776020  4       http://spacewarps.org/subjects/standard/5183f151e4bb21021901af23.png
ASW00070hp  0.9823506  3       http://spacewarps.org/subjects/standard/5183f151e4bb21021904fe3d.png
