# zooid     P          Nclass  image
ASW0000sk9  0.9752922  40       http://spacewarps.org/subjects/standard/5183f151e4bb210219009099.png
ASW0005r7k  0.9516328  32       http://spacewarps.org/subjects/standard/5183f151e4bb210219041900.png
ASW0005r7u  0.0000001  6       http://spacewarps.org/subjects/standard/5183f151e4bb21021904190a.png
ASW00068sy  0.0000001  11       http://spacewarps.org/subjects/standard/5183f151e4bb210219047212.png
ASW0004evz  0.9881411  7       http://spacewarps.org/subjects/standard/5183f151e4bb21021903245f.png
ASW0001o7s  0.9897239  10       http://spacewarps.org/subjects/standard/5183f151e4bb2102190130d8.png
ASW0004q57  0.9651999  24       http://spacewarps.org/subjects/standard/5183f151e4bb210219035d5b.png
ASW0006k9m  0.9879590  16       http://spacewarps.org/subjects/standard/5183f151e4bb21021904ac1a.png
ASW0001oci  0.9880044  31       http://spacewarps.org/subjects/standard/5183f151e4bb210219013182.png
ASW0001akj  0.9831170  5       http://spacewarps.org/subjects/standard/5183f151e4bb21021900ebc3.png
ASW00099wr  0.9958514  11       http://spacewarps.org/subjects/standard/5183f151e4bb210219069a6b.png
ASW0008snk  0.9674173  14       http://spacewarps.org/subjects/standard/5183f151e4bb210219064310.png
ASW0000ick  0.0000004  51       http://spacewarps.org/subjects/standard/5183f151e4bb210219005ce4.png
ASW0006jdr  0.9856068  19       http://spacewarps.org/subjects/standard/5183f151e4bb21021904a79f.png
ASW000737p  0.9968255  5       http://spacewarps.org/subjects/standard/5183f151e4bb210219050c05.png
ASW000135f  0.9822759  35       http://spacewarps.org/subjects/standard/5183f151e4bb21021900c633.png
ASW000402i  0.7734568  37       http://spacewarps.org/subjects/standard/5183f151e4bb21021902d95a.png
ASW0004oo1  0.9969299  8       http://spacewarps.org/subjects/standard/5183f151e4bb2102190355e1.png
ASW00054av  0.9719831  20       http://spacewarps.org/subjects/standard/5183f151e4bb21021903a507.png
ASW0006uhc  0.9917100  14       http://spacewarps.org/subjects/standard/5183f151e4bb21021904dfd0.png
ASW00003iz  0.9937963  48       http://spacewarps.org/subjects/standard/5183f151e4bb2102190011db.png
ASW000681u  0.0000001  15       http://spacewarps.org/subjects/standard/5183f151e4bb210219046e42.png
ASW0001s7r  0.0014642  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219014517.png
ASW000066w  0.9823131  9       http://spacewarps.org/subjects/standard/5183f151e4bb210219001f58.png
ASW0007uos  0.0006616  27       http://spacewarps.org/subjects/standard/5183f151e4bb21021905971c.png
ASW000000r  0.0000051  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900001b.png
ASW0002lc9  0.9648556  22       http://spacewarps.org/subjects/standard/5183f151e4bb21021901d889.png
ASW00001yy  0.0000094  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190009fa.png
ASW0004otg  0.0000002  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190356a4.png
ASW0000hlt  0.0002223  1       http://spacewarps.org/subjects/standard/5183f151e4bb210219005921.png
ASW00057pf  0.9933702  13       http://spacewarps.org/subjects/standard/5183f151e4bb21021903b643.png
ASW0002z3o  0.9584701  11       http://spacewarps.org/subjects/standard/5183f151e4bb210219021e34.png
ASW0007cln  0.0068903  49       http://spacewarps.org/subjects/standard/5183f151e4bb210219053b8b.png
ASW0002a8r  0.9739114  14       http://spacewarps.org/subjects/standard/5183f151e4bb21021901a05b.png
ASW00036ez  0.9808452  6       http://spacewarps.org/subjects/standard/5183f151e4bb21021902433b.png
ASW00060wf  0.0000001  5       http://spacewarps.org/subjects/standard/5183f151e4bb210219044a0f.png
ASW0008xsq  0.0009787  17       http://spacewarps.org/subjects/standard/5183f151e4bb210219065d1a.png
ASW0008w0s  0.4629408  21       http://spacewarps.org/subjects/standard/5183f151e4bb21021906541c.png
ASW0008fd1  0.0000004  27       http://spacewarps.org/subjects/standard/5183f151e4bb21021905ffc5.png
ASW0009d4c  0.9793580  6       http://spacewarps.org/subjects/standard/5183f151e4bb21021906aaac.png
ASW0002ciz  0.9685346  7       http://spacewarps.org/subjects/standard/5183f151e4bb21021901abeb.png
ASW00078fo  0.9744614  6       http://spacewarps.org/subjects/standard/5183f151e4bb210219052674.png
ASW00078fs  0.0000001  6       http://spacewarps.org/subjects/standard/5183f151e4bb210219052678.png
ASW0003lw7  0.9520635  20       http://spacewarps.org/subjects/standard/5183f151e4bb210219029197.png
ASW00024de  0.9975841  31       http://spacewarps.org/subjects/standard/5183f151e4bb2102190182a2.png
ASW0000mnu  0.9778734  49       http://spacewarps.org/subjects/standard/5183f151e4bb2102190072ba.png
ASW0000pjo  0.0000023  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219008154.png
ASW0000mnt  0.0000090  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190072b9.png
ASW0007thm  0.0000001  5       http://spacewarps.org/subjects/standard/5183f151e4bb21021905910a.png
ASW0002ro1  0.9889915  20       http://spacewarps.org/subjects/standard/5183f151e4bb21021901f891.png
ASW0008384  0.0066643  20       http://spacewarps.org/subjects/standard/5183f151e4bb21021905c254.png
ASW00008da  0.9864686  13       http://spacewarps.org/subjects/standard/5183f151e4bb210219002a5e.png
ASW00071xq  0.9758661  5       http://spacewarps.org/subjects/standard/5183f151e4bb21021905058e.png
ASW0002emw  0.9850455  6       http://spacewarps.org/subjects/standard/5183f151e4bb21021901b698.png
ASW000083g  0.0000001  51       http://spacewarps.org/subjects/standard/5183f151e4bb2102190028fc.png
ASW0006frk  0.9893204  16       http://spacewarps.org/subjects/standard/5183f151e4bb210219049550.png
ASW0006c3z  0.0000001  6       http://spacewarps.org/subjects/standard/5183f151e4bb2102190482cf.png
ASW00033sc  0.9921568  7       http://spacewarps.org/subjects/standard/5183f151e4bb2102190235ec.png
ASW0002b9r  0.9950075  47       http://spacewarps.org/subjects/standard/5183f151e4bb21021901a58f.png
ASW00033g4  0.0000004  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219023434.png
ASW00039up  0.9946309  13       http://spacewarps.org/subjects/standard/5183f151e4bb2102190254a1.png
ASW00029c6  0.0008550  46       http://spacewarps.org/subjects/standard/5183f151e4bb210219019bc6.png
ASW0008360  0.0000001  6       http://spacewarps.org/subjects/standard/5183f151e4bb21021905c208.png
ASW0005eom  0.0000001  6       http://spacewarps.org/subjects/standard/5183f151e4bb21021903d996.png
ASW00002vo  0.0000003  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219000e94.png
ASW0005r4n  0.9974458  5       http://spacewarps.org/subjects/standard/5183f151e4bb210219041897.png
ASW0000wy6  0.0117687  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900a6ce.png
ASW0005abs  0.9599478  10       http://spacewarps.org/subjects/standard/5183f151e4bb21021903c388.png
ASW0001hoz  0.9812980  12       http://spacewarps.org/subjects/standard/5183f151e4bb210219010fd3.png
ASW0009cd5  0.8991048  28       http://spacewarps.org/subjects/standard/5183f151e4bb21021906a6d9.png
ASW0009ccx  0.1293928  26       http://spacewarps.org/subjects/standard/5183f151e4bb21021906a6d1.png
ASW0000wbs  0.0057063  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900a3a8.png
ASW0003gj8  0.9963639  15       http://spacewarps.org/subjects/standard/5183f151e4bb210219027674.png
ASW0005s12  0.0000001  7       http://spacewarps.org/subjects/standard/5183f151e4bb210219041d26.png
ASW0001az2  0.0000001  29       http://spacewarps.org/subjects/standard/5183f151e4bb21021900edce.png
ASW0002wet  0.9804352  24       http://spacewarps.org/subjects/standard/5183f151e4bb210219021095.png
ASW00001e1  0.9973884  42       http://spacewarps.org/subjects/standard/5183f151e4bb210219000709.png
ASW0004vhx  0.9951441  14       http://spacewarps.org/subjects/standard/5183f151e4bb210219037875.png
ASW0004vht  0.9751420  10       http://spacewarps.org/subjects/standard/5183f151e4bb210219037871.png
ASW00067ov  0.0000001  6       http://spacewarps.org/subjects/standard/5183f151e4bb210219046c6f.png
ASW0001sl1  0.9928866  13       http://spacewarps.org/subjects/standard/5183f151e4bb2102190146f5.png
ASW00086wv  0.0000058  20       http://spacewarps.org/subjects/standard/5183f151e4bb21021905d4ff.png
ASW00098nt  0.9724689  7       http://spacewarps.org/subjects/standard/5183f151e4bb210219069419.png
ASW0000vop  0.0320634  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900a069.png
ASW00099v2  0.0000025  32       http://spacewarps.org/subjects/standard/5183f151e4bb210219069a2e.png
ASW00016cn  0.9663391  44       http://spacewarps.org/subjects/standard/5183f151e4bb21021900d667.png
ASW0005no8  0.0000001  5       http://spacewarps.org/subjects/standard/5183f151e4bb210219040718.png
ASW00078ni  0.0000668  28       http://spacewarps.org/subjects/standard/5183f151e4bb21021905278e.png
ASW000091m  0.9663804  42       http://spacewarps.org/subjects/standard/5183f151e4bb210219002dca.png
ASW0001mje  0.0614669  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901285a.png
